Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\NU40-DK-Basic\Project Outputs for NU40-DK-Basic\Pick Place\Pick Place for NU40-DK-Basic(Default).csv

========================================================================================================================
File Design Information:

Date:       02-04-26
Time:       11:13
Revision:   38c75b1c16730a464f5a390cd5fe2511a76da44a
Variant:    Default
Units used: mm

"Designator","Comment","Layer","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"SW5","YZA-042-1.5","TopLayer","46.5750","5.4750","270","3.3 x 3.3 x 1.5 mm Tactile Switch/Push Button Switch"
"SW4","YZA-042-1.5","TopLayer","57.1500","5.4750","270","3.3 x 3.3 x 1.5 mm Tactile Switch/Push Button Switch"
"SW3","YZA-042-1.5","TopLayer","41.8750","5.5500","270","3.3 x 3.3 x 1.5 mm Tactile Switch/Push Button Switch"
"SW2","YZA-042-1.5","TopLayer","37.1750","5.5500","270","3.3 x 3.3 x 1.5 mm Tactile Switch/Push Button Switch"
"SW1","YZA-042-1.5","TopLayer","32.4750","5.6000","270","3.3 x 3.3 x 1.5 mm Tactile Switch/Push Button Switch"
"J1","TYPE-C-31-M-12","TopLayer","4.9250","10.5000","270","5A 1 16P Female Type-C SMD USB Connectors ROHS"
"TP2","Testpoint 0.7SQ PAD","TopLayer","12.1250","10.5750","270","Testpoint 0.7SQ PAD"
"TP1","Testpoint 0.7SQ PAD","TopLayer","12.1250","12.2250","270","Testpoint 0.7SQ PAD"
"D1","SS3P4LHM3_A/H","TopLayer","12.1025","15.5015","270","Rectifier Diode, Schottky, 1 Phase, 1 Element, 3A, 40V V(RRM), Silicon, TO-277A"
"U3","BQ25186DLHR","TopLayer","16.1750","11.5500","180","1A I��C-controlled linear battery charger with power path and solar input support 10-WSON -40 to 125"
"SB14","SolderBridge_1005","TopLayer","0.6299","17.2600","270","Solderbridge, can place 1005 resistor"
"SB18","SolderBridge_1005","TopLayer","57.1550","8.8500","0","Solderbridge, can place 1005 resistor"
"SB17","SolderBridge_1005","TopLayer","56.9050","16.9000","0","Solderbridge, can place 1005 resistor"
"SB16","SolderBridge_1005","TopLayer","32.8200","11.2750","180","Solderbridge, can place 1005 resistor"
"SB15","SolderBridge_1005","TopLayer","32.8200","10.3500","180","Solderbridge, can place 1005 resistor"
"SB10","SolderBridge_1005","TopLayer","16.8800","5.9000","0","Solderbridge, can place 1005 resistor"
"SB9","SolderBridge_1005","TopLayer","18.9548","5.5956","0","Solderbridge, can place 1005 resistor"
"SB4","SolderBridge_1005","TopLayer","62.4300","16.4000","0","Solderbridge, can place 1005 resistor"
"SB6","SolderBridge_1005","TopLayer","61.9000","8.0800","90","Solderbridge, can place 1005 resistor"
"SB5","SolderBridge_1005","TopLayer","62.4300","15.4500","0","Solderbridge, can place 1005 resistor"
"D4","SD15C-7","TopLayer","5.0700","17.2900","0","Tvs Diode, Bidir, 15V, 320W, Sod-323 Rohs Compliant: Yes"
"R1","Resistor/2012","TopLayer","26.9000","12.6000","90","Generic Resistor 2012"
"R5","Resistor/1608","TopLayer","10.0250","12.1000","0","Generic 1608 Resistor"
"R4","Resistor/1608","TopLayer","3.8000","4.0625","270","Generic 1608 Resistor"
"R14","Resistor/1005","TopLayer","2.4250","16.4250","90","Generic 1005 Resistor"
"R13","Resistor/1005","TopLayer","2.7815","17.6520","0","Generic 1005 Resistor"
"R24","Resistor/1005","TopLayer","47.4750","16.2770","180","Generic 1005 Resistor"
"R20","Resistor/1005","TopLayer","37.6501","15.7519","90","Generic 1005 Resistor"
"R19","Resistor/1005","TopLayer","37.6501","17.3019","90","Generic 1005 Resistor"
"R18","Resistor/1005","TopLayer","37.6501","12.7269","90","Generic 1005 Resistor"
"R17","Resistor/1005","TopLayer","37.6501","14.2269","90","Generic 1005 Resistor"
"R16","Resistor/1005","TopLayer","33.7750","13.2750","270","Generic 1005 Resistor"
"R12","Resistor/1005","TopLayer","26.2000","6.7395","180","Generic 1005 Resistor"
"R10","Resistor/1005","TopLayer","28.3250","8.3500","0","Generic 1005 Resistor"
"R9","Resistor/1005","TopLayer","17.3500","7.2250","90","Generic 1005 Resistor"
"R8","Resistor/1005","TopLayer","15.6324","6.8276","180","Generic 1005 Resistor"
"R7","Resistor/1005","TopLayer","18.9623","6.5956","180","Generic 1005 Resistor"
"R6","Resistor/1005","TopLayer","30.3466","9.9318","90","Generic 1005 Resistor"
"R3","Resistor/1005","TopLayer","5.9000","4.5500","90","Generic 1005 Resistor"
"R2","Resistor/1005","TopLayer","4.9898","4.5522","90","Generic 1005 Resistor"
"R25","Resistor/1005","TopLayer","47.4750","17.1770","180","Generic 1005 Resistor"
"R23","Resistor/1005","TopLayer","47.3000","14.6020","180","Generic 1005 Resistor"
"R21","Resistor/1005","TopLayer","47.3000","13.7520","180","Generic 1005 Resistor"
"R15","Resistor/1005","TopLayer","33.7750","14.8750","90","Generic 1005 Resistor"
"R11","Resistor/1005","TopLayer","13.8750","8.9250","180","Generic 1005 Resistor"
"P3","","TopLayer","76.1486","3.7088","180",""
